force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1749328,4180694.4,3735164.4,1897362.5,3822247,4440696,-148034.5,-260001.6,-87082.6,1.47E+00
1.5,1,1,0,1750252,4197612.8,3746397.6,1895750,3807206,4433741,-145498,-236128.2,-60808.4,1.47E+00
1.5,1,1,0,1748614,4193288,3750780,1900362.5,3816371,4462588,-151748.5,-269300,-65591,1.48E+00
1.5,1,1,0,1750056,4195260,3736405.2,1894287.5,3813433,4460313,-144231.5,-265053,-77027.8,1.48E+00
1.5,1,1,0,1755880,4198850.4,3758805.6,1896750,3800303,4455217,-140870,-256366.6,-41497.4,1.48E+00
1.5,1,1,0,1748726,4185386.4,3738622.8,1900512.5,3822260,4450940,-151786.5,-265553.6,-83637.2,1.47E+00
1.5,1,1,0,1751148,4196715.2,3746938.8,1896750,3801668,4458324,-145602,-261608.8,-54729.2,1.47E+00
1.5,1,1,0,1751274,4197259.2,3751519.2,1896725,3812354,4451239,-145451,-253979.8,-60834.8,1.47E+00
1.5,1,1,0,1749062,4197912,3752773.2,1898600,3827226,4456309,-149538,-258397,-74452.8,1.48E+00
1.5,1,1,0,1753220,4190853.6,3736669.2,1898187.5,3822546,4439032,-144967.5,-248178.4,-85876.8,1.47E+00
1.5,1,1,0,1752982,4203134.4,3748153.2,1898425,3806712,4442451,-145443,-239316.6,-58558.8,1.47E+00
1.5,1,1,0,1749720,4183958.4,3752403.6,1897675,3811808,4431999,-147955,-248040.6,-59404.4,1.48E+00
1.5,1,1,0,1752450,4191370.4,3752456.4,1897862.5,3839953,4443634,-145412.5,-252263.6,-87496.6,1.48E+00
1.5,1,1,0,1749958,4186392.8,3736088.4,1895362.5,3816891,4465825,-145404.5,-279432.2,-80802.6,1.48E+00
1.5,1,1,0,1755306,4203923.2,3743612.4,1892887.5,3817567,4439409,-137581.5,-235485.8,-73954.6,1.49E+00
1.5,1,1,0,1750434,4189928.8,3746476.8,1895187.5,3811756,4457986,-144753.5,-268057.2,-65279.2,1.49E+00
1.5,1,1,0,1751848,4183618.4,3739150.8,1893737.5,3814135,4456790,-141889.5,-273171.6,-74984.2,1.48E+00
